department,date,value
VAUPES,4/21/2019,0
VICHADA,4/21/2019,0
AMAZONAS,4/28/2019,0
ANTIOQUIA,4/28/2019,1
ARAUCA,4/28/2019,0
ATLANTICO,4/28/2019,0
BOGOTA,4/28/2019,0
BOLIVAR,4/28/2019,0
BOYACA,4/28/2019,1
CALDAS,4/28/2019,0
CAQUETA,4/28/2019,0
CASANARE,4/28/2019,0
CAUCA,4/28/2019,0
CESAR,4/28/2019,1
CHOCO,4/28/2019,0
CORDOBA,4/28/2019,0
CUNDINAMARCA,4/28/2019,0
GUAINIA,4/28/2019,0
GUAVIARE,4/28/2019,0
HUILA,4/28/2019,0
LA GUAJIRA,4/28/2019,1
MAGDALENA,4/28/2019,0
META,4/28/2019,0
NARIÑO,4/28/2019,0
NORTE SANTANDER,4/28/2019,0
PUTUMAYO,4/28/2019,0
RISARALDA,4/28/2019,0
SANTANDER,4/28/2019,0
SUCRE,4/28/2019,0
TOLIMA,4/28/2019,1
VALLE DEL CAUCA,4/28/2019,0
VAUPES,4/28/2019,0
VICHADA,4/28/2019,0
AMAZONAS,5/5/2019,0
ANTIOQUIA,5/5/2019,0
ARAUCA,5/5/2019,0
ATLANTICO,5/5/2019,1
BOGOTA,5/5/2019,0
BOLIVAR,5/5/2019,2
BOYACA,5/5/2019,0
CALDAS,5/5/2019,0
CAQUETA,5/5/2019,0
CASANARE,5/5/2019,0
CAUCA,5/5/2019,0
CESAR,5/5/2019,0
CHOCO,5/5/2019,1
CORDOBA,5/5/2019,0
CUNDINAMARCA,5/5/2019,0
GUAINIA,5/5/2019,0
GUAVIARE,5/5/2019,0
HUILA,5/5/2019,0
LA GUAJIRA,5/5/2019,1
MAGDALENA,5/5/2019,0
META,5/5/2019,0
NARIÑO,5/5/2019,1
NORTE SANTANDER,5/5/2019,0
PUTUMAYO,5/5/2019,0
RISARALDA,5/5/2019,0
SANTANDER,5/5/2019,0
SUCRE,5/5/2019,0
TOLIMA,5/5/2019,0
VALLE DEL CAUCA,5/5/2019,1
VAUPES,5/5/2019,0
VICHADA,5/5/2019,0
AMAZONAS,5/12/2019,0
ANTIOQUIA,5/12/2019,0
ARAUCA,5/12/2019,0
ATLANTICO,5/12/2019,2
BOGOTA,5/12/2019,0
BOLIVAR,5/12/2019,0
BOYACA,5/12/2019,0
CALDAS,5/12/2019,0
CAQUETA,5/12/2019,0
CASANARE,5/12/2019,0
CAUCA,5/12/2019,0
CESAR,5/12/2019,0
CHOCO,5/12/2019,0
CORDOBA,5/12/2019,0
CUNDINAMARCA,5/12/2019,0
GUAINIA,5/12/2019,0
GUAVIARE,5/12/2019,0
HUILA,5/12/2019,0
LA GUAJIRA,5/12/2019,0
MAGDALENA,5/12/2019,0
META,5/12/2019,0
NARIÑO,5/12/2019,0
NORTE SANTANDER,5/12/2019,3
PUTUMAYO,5/12/2019,0
RISARALDA,5/12/2019,0
SANTANDER,5/12/2019,0
SUCRE,5/12/2019,0
TOLIMA,5/12/2019,0
VALLE DEL CAUCA,5/12/2019,1
VAUPES,5/12/2019,0
VICHADA,5/12/2019,0
AMAZONAS,5/19/2019,0
ANTIOQUIA,5/19/2019,0
ARAUCA,5/19/2019,0
ATLANTICO,5/19/2019,1
BOGOTA,5/19/2019,1
BOLIVAR,5/19/2019,2
BOYACA,5/19/2019,0
CALDAS,5/19/2019,0
CAQUETA,5/19/2019,0
CASANARE,5/19/2019,0
CAUCA,5/19/2019,0
CESAR,5/19/2019,0
CHOCO,5/19/2019,0
CORDOBA,5/19/2019,0
CUNDINAMARCA,5/19/2019,0
GUAINIA,5/19/2019,0
GUAVIARE,5/19/2019,0
HUILA,5/19/2019,0
LA GUAJIRA,5/19/2019,0
MAGDALENA,5/19/2019,0
META,5/19/2019,0
NARIÑO,5/19/2019,0
NORTE SANTANDER,5/19/2019,0
PUTUMAYO,5/19/2019,0
RISARALDA,5/19/2019,0
SANTANDER,5/19/2019,0
SUCRE,5/19/2019,0
TOLIMA,5/19/2019,0
VALLE DEL CAUCA,5/19/2019,0
VAUPES,5/19/2019,0
VICHADA,5/19/2019,1
AMAZONAS,5/26/2019,0
ANTIOQUIA,5/26/2019,1
ARAUCA,5/26/2019,0
ATLANTICO,5/26/2019,2
BOGOTA,5/26/2019,0
BOLIVAR,5/26/2019,0
BOYACA,5/26/2019,0
CALDAS,5/26/2019,0
CAQUETA,5/26/2019,0
CASANARE,5/26/2019,0
CAUCA,5/26/2019,0
CESAR,5/26/2019,0
CHOCO,5/26/2019,0
CORDOBA,5/26/2019,0
CUNDINAMARCA,5/26/2019,0
GUAINIA,5/26/2019,0
GUAVIARE,5/26/2019,0
HUILA,5/26/2019,0
LA GUAJIRA,5/26/2019,0
MAGDALENA,5/26/2019,0
META,5/26/2019,0
NARIÑO,5/26/2019,0
NORTE SANTANDER,5/26/2019,0
PUTUMAYO,5/26/2019,0
RISARALDA,5/26/2019,0
SANTANDER,5/26/2019,0
SUCRE,5/26/2019,0
TOLIMA,5/26/2019,0
VALLE DEL CAUCA,5/26/2019,0
VAUPES,5/26/2019,0
VICHADA,5/26/2019,0
AMAZONAS,6/2/2019,0
ANTIOQUIA,6/2/2019,1
ARAUCA,6/2/2019,0
ATLANTICO,6/2/2019,0
BOGOTA,6/2/2019,0
BOLIVAR,6/2/2019,1
BOYACA,6/2/2019,0
CALDAS,6/2/2019,0
CAQUETA,6/2/2019,0
CASANARE,6/2/2019,0
CAUCA,6/2/2019,0
CESAR,6/2/2019,0
CHOCO,6/2/2019,0
CORDOBA,6/2/2019,0
CUNDINAMARCA,6/2/2019,0
GUAINIA,6/2/2019,0
GUAVIARE,6/2/2019,0
HUILA,6/2/2019,0
LA GUAJIRA,6/2/2019,0
MAGDALENA,6/2/2019,0
META,6/2/2019,0
NARIÑO,6/2/2019,0
NORTE SANTANDER,6/2/2019,0
PUTUMAYO,6/2/2019,0
RISARALDA,6/2/2019,0
SANTANDER,6/2/2019,0
SUCRE,6/2/2019,1
TOLIMA,6/2/2019,0
VALLE DEL CAUCA,6/2/2019,1
VAUPES,6/2/2019,0
VICHADA,6/2/2019,0
AMAZONAS,6/9/2019,0
ANTIOQUIA,6/9/2019,0
ARAUCA,6/9/2019,0
ATLANTICO,6/9/2019,0
BOGOTA,6/9/2019,0
BOLIVAR,6/9/2019,0
BOYACA,6/9/2019,0
CALDAS,6/9/2019,0
CAQUETA,6/9/2019,0
CASANARE,6/9/2019,0
CAUCA,6/9/2019,0
CESAR,6/9/2019,0
CHOCO,6/9/2019,0
CORDOBA,6/9/2019,0
CUNDINAMARCA,6/9/2019,0
GUAINIA,6/9/2019,0
GUAVIARE,6/9/2019,0
HUILA,6/9/2019,0
LA GUAJIRA,6/9/2019,0
MAGDALENA,6/9/2019,1
META,6/9/2019,0
NARIÑO,6/9/2019,0
NORTE SANTANDER,6/9/2019,0
PUTUMAYO,6/9/2019,0
RISARALDA,6/9/2019,0
SANTANDER,6/9/2019,0
SUCRE,6/9/2019,1
TOLIMA,6/9/2019,0
VALLE DEL CAUCA,6/9/2019,2
VAUPES,6/9/2019,0
VICHADA,6/9/2019,0
AMAZONAS,6/16/2019,0
ANTIOQUIA,6/16/2019,0
ARAUCA,6/16/2019,0
ATLANTICO,6/16/2019,0
BOGOTA,6/16/2019,0
BOLIVAR,6/16/2019,0
BOYACA,6/16/2019,0
CALDAS,6/16/2019,0
CAQUETA,6/16/2019,0
CASANARE,6/16/2019,0
CAUCA,6/16/2019,0
CESAR,6/16/2019,0
CHOCO,6/16/2019,0
CORDOBA,6/16/2019,0
CUNDINAMARCA,6/16/2019,1
GUAINIA,6/16/2019,0
GUAVIARE,6/16/2019,0
HUILA,6/16/2019,0
LA GUAJIRA,6/16/2019,0
MAGDALENA,6/16/2019,0
META,6/16/2019,0
NARIÑO,6/16/2019,0
NORTE SANTANDER,6/16/2019,0
PUTUMAYO,6/16/2019,0
RISARALDA,6/16/2019,0
SANTANDER,6/16/2019,0
SUCRE,6/16/2019,0
TOLIMA,6/16/2019,0
VALLE DEL CAUCA,6/16/2019,1
VAUPES,6/16/2019,0
VICHADA,6/16/2019,0
AMAZONAS,6/23/2019,0
ANTIOQUIA,6/23/2019,1
ARAUCA,6/23/2019,0
ATLANTICO,6/23/2019,0
BOGOTA,6/23/2019,1
BOLIVAR,6/23/2019,0
BOYACA,6/23/2019,0
