Date,AMAZONAS,ANTIOQUIA,ARAUCA,ATLANTICO,BOGOTA,BOLIVAR,BOYACA,CALDAS,CAQUETA,CASANARE,CAUCA,CESAR,CHOCO,CORDOBA,CUNDINAMARCA,GUAINIA,GUAVIARE,HUILA,LA GUAJIRA,MAGDALENA,META,NARIÑO,NORTE SANTANDER,PUTUMAYO,QUINDIO,RISARALDA,SAN ANDRES,SANTANDER,SUCRE,TOLIMA,VALLE DEL CAUCA,VAUPES,VICHADA
6/2/2019,0,14,2,8,27,3,5,4,1,1,6,2,1,8,10,0,1,3,11,3,4,6,5,2,2,2,0,3,5,3,14,0,3
6/9/2019,0,14,0,6,29,7,1,0,2,0,4,3,4,16,6,0,0,3,14,3,4,5,1,0,2,3,0,12,9,3,12,0,2
6/16/2019,1,26,5,11,13,5,2,3,2,0,3,8,6,8,8,0,1,3,11,4,4,6,6,0,0,4,0,4,4,8,14,0,1
6/23/2019,1,27,2,15,24,2,4,0,0,2,4,6,1,13,7,1,0,4,7,11,4,6,4,2,1,3,0,2,2,4,9,0,1
6/30/2019,1,17,1,8,28,5,2,2,3,1,7,4,3,7,6,0,1,9,9,2,0,8,9,0,3,1,0,4,5,3,8,2,1
7/7/2019,1,9,0,12,28,3,1,2,3,0,3,4,0,14,7,0,2,8,12,6,5,8,6,1,0,1,0,2,9,6,5,0,1
7/14/2019,0,17,1,10,22,5,4,1,3,0,1,6,5,9,7,0,0,6,16,5,5,5,10,0,0,3,0,2,10,4,10,1,1
7/21/2019,0,16,0,10,31,6,10,4,3,1,6,9,3,6,3,0,0,4,9,6,5,5,3,0,3,0,1,8,9,8,13,0,0
7/28/2019,1,22,0,10,21,10,2,4,0,2,7,8,1,13,7,0,0,1,15,8,4,6,7,1,2,4,0,3,6,1,7,0,2
8/4/2019,0,26,2,8,28,3,3,2,1,2,6,8,6,11,6,0,0,4,10,7,4,3,7,1,0,2,0,0,3,3,14,0,0
8/11/2019,0,27,2,10,24,8,1,2,2,1,8,3,2,8,11,0,1,5,11,2,2,5,2,0,1,4,0,6,4,3,9,0,0
8/18/2019,0,19,0,12,19,7,3,3,0,1,2,7,9,5,4,0,0,3,11,5,4,2,6,0,1,2,0,1,5,2,12,0,1
8/25/2019,2,13,1,13,29,6,1,3,1,0,6,5,4,8,3,1,0,8,11,4,4,1,3,0,1,2,0,3,2,4,9,0,1
9/1/2019,1,22,2,10,27,2,2,2,3,0,4,5,5,9,4,0,0,3,9,7,9,4,8,3,0,2,2,9,5,5,9,2,0
