department,date,value
VICHADA,9/29/2019,0
AMAZONAS,10/6/2019,0
ANTIOQUIA,10/6/2019,29
ARAUCA,10/6/2019,1
ATLANTICO,10/6/2019,18
BOGOTA,10/6/2019,20
BOLIVAR,10/6/2019,14
BOYACA,10/6/2019,0
CALDAS,10/6/2019,1
CAQUETA,10/6/2019,0
CASANARE,10/6/2019,2
CAUCA,10/6/2019,5
CESAR,10/6/2019,4
CHOCO,10/6/2019,6
CORDOBA,10/6/2019,11
CUNDINAMARCA,10/6/2019,17
GUAINIA,10/6/2019,0
GUAVIARE,10/6/2019,0
HUILA,10/6/2019,5
LA GUAJIRA,10/6/2019,12
MAGDALENA,10/6/2019,6
META,10/6/2019,2
NARIÑO,10/6/2019,4
NORTE SANTANDER,10/6/2019,5
PUTUMAYO,10/6/2019,1
QUINDIO,10/6/2019,1
RISARALDA,10/6/2019,2
SAN ANDRES,10/6/2019,1
SANTANDER,10/6/2019,1
SUCRE,10/6/2019,5
TOLIMA,10/6/2019,3
VALLE DEL CAUCA,10/6/2019,16
VAUPES,10/6/2019,0
VICHADA,10/6/2019,1
AMAZONAS,10/13/2019,0
ANTIOQUIA,10/13/2019,20
ARAUCA,10/13/2019,2
ATLANTICO,10/13/2019,9
BOGOTA,10/13/2019,24
BOLIVAR,10/13/2019,10
BOYACA,10/13/2019,1
CALDAS,10/13/2019,2
CAQUETA,10/13/2019,4
CASANARE,10/13/2019,2
CAUCA,10/13/2019,2
CESAR,10/13/2019,6
CHOCO,10/13/2019,1
CORDOBA,10/13/2019,9
CUNDINAMARCA,10/13/2019,5
GUAINIA,10/13/2019,0
GUAVIARE,10/13/2019,0
HUILA,10/13/2019,3
LA GUAJIRA,10/13/2019,4
MAGDALENA,10/13/2019,10
META,10/13/2019,1
NARIÑO,10/13/2019,5
NORTE SANTANDER,10/13/2019,7
PUTUMAYO,10/13/2019,0
QUINDIO,10/13/2019,1
RISARALDA,10/13/2019,3
SAN ANDRES,10/13/2019,0
SANTANDER,10/13/2019,7
SUCRE,10/13/2019,2
TOLIMA,10/13/2019,2
VALLE DEL CAUCA,10/13/2019,12
VAUPES,10/13/2019,0
VICHADA,10/13/2019,0
AMAZONAS,10/20/2019,1
ANTIOQUIA,10/20/2019,23
ARAUCA,10/20/2019,0
ATLANTICO,10/20/2019,11
BOGOTA,10/20/2019,25
BOLIVAR,10/20/2019,9
BOYACA,10/20/2019,0
CALDAS,10/20/2019,2
CAQUETA,10/20/2019,1
CASANARE,10/20/2019,1
CAUCA,10/20/2019,1
CESAR,10/20/2019,6
CHOCO,10/20/2019,4
CORDOBA,10/20/2019,6
CUNDINAMARCA,10/20/2019,9
GUAINIA,10/20/2019,0
GUAVIARE,10/20/2019,0
HUILA,10/20/2019,5
LA GUAJIRA,10/20/2019,11
MAGDALENA,10/20/2019,2
META,10/20/2019,5
NARIÑO,10/20/2019,5
NORTE SANTANDER,10/20/2019,4
PUTUMAYO,10/20/2019,1
